variant,runs,completed,completion_rate,cleared,source_count,mean_L_move,mean_N_clr,mean_N_meas,mean_N_succ,mean_N_sw,mean_T,mean_additional_remeasurements,mean_budget_exhausted_sources,mean_budget_stop_events,mean_cleared,mean_cpu_seconds,mean_directional_confirmation_events,mean_directional_confirmed_sources,mean_first_direction_sources,mean_first_remeasure_attempts,mean_first_remeasure_successes,mean_mean_clear_attempts_per_source,mean_mean_followups_per_source,mean_no_remeasure_until_clear_sources,mean_opportunity_direct_clear_sources,mean_opportunity_near_clear_sources,mean_optical_fallback_sources,mean_scored_remeasurements,mean_second_remeasure_attempts,mean_second_remeasure_successes,mean_source_count,mean_unresolved_without_remeasure_sources,mean_verified_executed_detours,mean_wall_seconds,mean_warmup_cpu_seconds,mean_warmup_wall_seconds,paired_complete_runs,mean_paired_T_change_s,mean_paired_T_change_percent,median_completed_T,first_remeasure_attempts,first_remeasure_success_rate,second_remeasure_attempts,second_remeasure_success_rate,pooled_first_remeasure_distance,pooled_first_remeasure_delay_s,pooled_first_remeasure_feedback_delay_s,pooled_clear_attempts_per_source,mean_executed_remeasure_detour_s,mean_first_remeasure_success_rate,mean_mean_first_remeasure_delay_s,mean_mean_first_remeasure_distance,mean_mean_first_remeasure_feedback_delay_s,mean_mean_selected_J_hat,mean_second_remeasure_success_rate
pair_v2,30,30,1.0,360,360,51041.48732217431,732.8333333333334,258.53333333333336,12,234.3,13957.764131101529,0,0,0,12,1.1879087333333338,0,0,12,0,0,60.83064102564103,0.0,12,0,0,12,0,0,0,12,0,0,1.2011266222669899,0.0,0.0,30,0.0,0.0,13793.829219449643,0,,0,,,,,61.06944444444444,,,,,,,
route_b1_t5,30,30,1.0,360,360,34630.638953149486,206.13333333333333,270.3666666666667,12,254.73333333333332,9175.094457296564,11.633333333333333,11.633333333333333,11.633333333333333,12,19.605486766666672,2.4,2.4,12,11.633333333333333,9.233333333333333,17.262991452991454,0.970982905982906,0.36666666666666664,2.8,0,9.2,11.633333333333333,0,0,12,0,11.633333333333333,19.845205987568868,0.01070679999999007,0.011233959662301155,30,-4782.669673804965,-33.841137529209625,9048.864502570144,349,0.7936962750716332,0,,10864.948262790871,2932.651543675652,2937.651543675652,17.177777777777777,0.25412373929824367,0.7945998445998446,2900.6641449854255,10674.311323217727,2905.6641449854255,116.70983877755032,
route_b2_t5,30,30,1.0,360,360,35587.0065469943,185.63333333333333,279.6666666666667,12,262.8666666666667,9359.50130939886,20.1,8.633333333333333,8.633333333333333,12,17.777513766666665,5.666666666666667,3.533333333333333,12,11.466666666666667,8.933333333333334,15.570128205128205,1.6752564102564103,0.5333333333333333,7.233333333333333,0,4.766666666666667,20.1,8.633333333333333,5.5,12,0,20.1,17.980269020832687,0.010621099999997552,0.011199380664038472,30,-4598.262821702669,-32.312084272993225,9243.287501382434,344,0.7790697674418605,259,0.637065637065637,10834.4141291352,2907.9235235014585,2912.9235235014585,15.469444444444445,0.5719574546069841,0.781042106042106,2943.985162668636,10932.641918534287,2948.985162668636,99.48931298849628,0.6351974876974877
route_b3_t5,30,30,1.0,360,360,35667.012808983585,183.1,281.56666666666666,12,263.6333333333333,9378.169228463385,22,1.9333333333333333,1.9333333333333333,12,18.225366633333344,6.466666666666667,3.5,12,11.466666666666667,8.966666666666667,15.32991452991453,1.8332478632478633,0.5333333333333333,7.766666666666667,0,4.233333333333333,22,8.6,5.533333333333333,12,0,22,18.43927931813232,0.01057430000000142,0.011030852967329944,30,-4579.594902638144,-32.206473489781494,9345.00165312747,344,0.7819767441860465,258,0.6434108527131783,10853.028787026793,2913.835408568149,2918.835408568149,15.258333333333333,0.5918598462771127,0.7843754393754394,2950.4948006568015,10952.679288739297,2955.4948006568015,90.65325797353846,0.6432927257927258
route_b2_t0,30,30,1.0,360,360,35667.6925782762,187.63333333333333,279.3,12,262.46666666666664,9379.405182321907,19.866666666666667,8.5,8.5,12,18.084841766666667,5.533333333333333,3.5,12,11.366666666666667,8.833333333333334,15.736794871794872,1.6552564102564102,0.6333333333333333,7.2,0,4.8,19.866666666666667,8.5,5.5,12,0,19.866666666666667,18.278781486067842,0.009966466666658872,0.01025206660463785,30,-4578.358948779622,-32.164441741319955,9243.287501382434,341,0.7771260997067448,255,0.6470588235294118,11183.142440431675,2996.147549669912,3001.147549669912,15.636111111111111,4.67218584769095e-08,0.7779360454360454,3059.1445871907986,11385.096616902678,3064.1445871907986,99.1269007941642,0.6438360713360713
route_b2_t20,30,30,1.0,360,360,35403.77582798688,183.1,279.73333333333335,12,262.8666666666667,9315.588498930709,20.3,8.733333333333333,8.733333333333333,12,17.19904046666667,5.733333333333333,3.6,12,11.566666666666666,9,15.369700854700854,1.6905982905982906,0.43333333333333335,7.3,0,4.7,20.3,8.733333333333333,5.566666666666666,12,0,20.3,17.42794538337039,1.5466666660775748e-05,1.673056685831398e-05,30,-4642.17563217082,-32.61107747781547,9152.246453288804,347,0.7780979827089337,262,0.6374045801526718,10712.669622267336,2875.3264316580776,2880.3264316580776,15.258333333333333,4.130511647741854,0.7803483553483553,2910.7528736896124,10804.761797870495,2915.7528736896124,99.6458044814363,0.6359310134310134
global_q2_b2,30,30,1.0,360,360,39026.10810498925,211.7,281,12,262.06666666666666,10131.388287664518,21.033333333333335,9.033333333333333,9.033333333333333,12,6.825812400000002,7.333333333333333,4.233333333333333,12,12,8.5,17.917820512820512,1.7502991452991452,0,0,0,3.933333333333333,21.033333333333335,9.033333333333333,5.2,12,0,21.033333333333335,6.9107874000668135,1.0933333328821959e-05,1.0990303902265926e-05,30,-3826.3758434370106,-26.603710371966475,10019.278799972173,360,0.7083333333333334,271,0.5756457564575646,13193.753493128414,3463.3145875145715,3468.3145875145715,17.641666666666666,1261.7377504488263,0.7065811965811966,3469.6306680636776,13160.32663091668,3474.6306680636776,85.02812632256389,0.5696404521404521
